2013/09/07, 2
2013/09/08, 3
2013/09/09, 1
2013/09/10, 3
2013/09/11, 3
2013/09/12, 4
2013/09/13, 4
2013/09/14, 4
2013/09/15, 4
2013/09/16, 4
2013/09/17, 4
2013/09/18, 4
2013/09/19, 3
2013/09/20, 4
2013/09/21, 4
2013/09/22, 3
2013/09/23, 4
2013/09/25, 4
2013/09/26, 4
2013/09/27, 3
2013/09/28, 4
2013/09/29, 4
2013/09/30, 3
2013/09/30, 4
2013/10/01, 4
2013/10/02, 3
2013/10/03, 4
2013/10/04, 4
2013/10/05, 4
2013/10/06, 4
2013/10/07, 4
2013/10/08, 3
2013/10/09, 4
2013/10/10, 3
2013/10/11, 3
2013/10/12, 2
2013/10/13, 4
2013/10/14, 3
2013/10/15, 4
2013/10/16, 4
2013/10/17, 3
2013/10/18, 4
2013/10/19, 4
2013/10/20, 4
2013/10/21, 4
2013/10/22, 4
2013/10/23, 3
2013/10/24, 4
2013/10/25, 4
2013/10/26, 4
2013/10/27, 4
2013/10/28, 4
2013/10/29, 4
2013/10/30, 4
2013/10/31, 3
2013/11/01, 4
2013/11/02, 3
2013/11/03, 3
2013/11/04, 4
2013/11/05, 4
2013/11/06, 3
2013/11/07, 3
2013/11/08, 4
2013/11/09, 4
2013/11/10, 4
2013/11/11, 4
2013/11/12, 4
2013/11/13, 4
2013/11/14, 4
2013/11/15, 3
2013/11/16, 4
2013/11/17, 4
2013/11/18, 4
2013/11/19, 4
2013/11/20, 4
2013/11/21, 4
2013/11/22, 4
2013/11/23, 3
2013/11/24, 3
2013/11/25, 4
2013/11/26, 4
2013/11/27, 4
2013/11/28, 4
2013/11/29, 4
2013/11/30, 3
2013/12/01, 3
2013/12/02, 3
2013/12/03, 4
2013/12/04, 3
2013/12/05, 3
2013/12/06, 3
2013/12/07, 3
2013/12/08, 4
2013/12/09, 2
2013/12/10, 2
2013/12/11, 3
2013/12/12, 3
2013/12/13, 4
2013/12/14, 4
2013/12/15, 4
2013/12/16, 3
2013/12/17, 4
2013/12/18, 4
2013/12/19, 4
2013/12/20, 4
2013/12/21, 4
2013/12/22, 4
2013/12/23, 4
2013/12/24, 3
2013/12/25, 4
2013/12/26, 4
2013/12/27, 3
2013/12/28, 4
2013/12/29, 4
2013/12/30, 4
2013/12/31, 4
